1,1,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0
0,1,1,0,0,2,0,5,1,1,3,1,0,0,1,0,0,0,0,0
0,0,0,3,3,2,3,4,8,11,10,6,0,0,1,0,0,0,0,0
0,0,1,5,13,10,11,10,11,21,21,9,5,2,2,1,0,0,0,0
0,4,5,9,19,20,23,23,32,38,41,28,16,7,4,2,0,0,0,0
0,2,10,17,26,35,27,42,53,63,68,44,27,12,5,2,0,0,0,0
4,1,11,21,33,30,40,62,54,83,83,51,42,12,13,4,0,1,0,0
2,5,8,27,23,44,35,53,82,97,92,59,65,39,13,9,3,3,1,0
0,3,7,12,24,37,39,55,76,74,78,68,68,25,13,9,5,2,0,2
0,0,11,18,29,33,33,59,61,69,85,85,53,56,18,17,8,4,2,0
0,1,5,16,22,32,56,51,69,80,58,50,63,45,30,23,11,0,1,0
0,2,6,14,25,45,45,40,61,57,45,51,46,50,31,18,11,1,2,0
0,1,2,9,15,37,48,45,52,58,65,35,44,31,25,14,1,3,1,0
0,0,0,7,18,29,52,52,40,58,35,28,18,22,12,2,6,2,0,0
0,0,1,4,9,18,37,46,50,31,23,24,16,7,7,1,0,0,0,0
0,0,1,5,10,18,31,29,37,30,22,19,7,7,0,0,0,0,0,0
0,0,0,4,5,6,12,16,21,10,7,5,1,1,0,2,0,0,0,0
0,0,0,1,2,2,4,4,8,5,3,4,0,2,0,0,0,0,0,0
0,0,0,0,0,0,0,1,1,1,6,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0
