2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,1,1,0,0,1,1,0,3,0,0,3,0,1,0,0,0,0,0,0
0,0,3,4,6,3,4,9,7,8,10,5,1,1,0,0,0,0,0,0
0,0,1,12,22,12,9,11,24,22,40,19,4,3,0,0,0,0,0,0
0,4,11,16,36,36,32,41,54,62,89,48,24,10,5,1,1,0,0,0
1,3,12,24,60,67,63,69,91,141,166,111,56,28,10,4,0,0,0,0
0,4,14,33,56,82,92,110,154,204,273,190,118,43,20,8,1,0,0,0
2,3,16,43,63,83,130,137,203,263,326,236,177,96,30,8,2,4,2,0
1,3,14,27,68,94,128,153,190,285,332,299,205,127,51,23,13,3,2,2
0,0,12,30,62,80,122,146,211,247,312,281,224,141,51,45,21,4,2,1
0,0,4,20,45,83,109,143,170,228,253,270,237,179,108,78,28,7,5,0
0,1,3,17,40,58,117,181,193,227,200,192,220,175,136,72,20,4,4,1
1,3,8,22,35,84,129,183,182,199,194,180,152,163,103,46,18,8,0,0
0,0,1,5,33,70,129,171,215,198,184,131,99,91,59,21,16,2,0,0
0,0,3,7,29,45,83,127,168,167,110,76,59,39,20,5,2,2,0,0
0,0,1,8,15,36,95,126,141,126,98,62,31,31,1,5,0,0,0,0
0,0,0,5,9,23,35,40,68,60,40,33,5,9,2,0,0,0,0,0
0,0,0,1,4,5,5,14,18,16,10,10,0,0,3,0,0,0,0,0
0,0,0,0,0,0,1,3,4,4,9,4,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,2,0,5,1,0,0,0,0,0,0,0,0
