133.4654694875/38.18191397193,133.4681552887/38.18191397193,133.4708410899/38.18191397193,133.4735268911/38.18191397193,133.4762126923/38.18191397193,133.4788984934/38.18191397193,133.4815842946/38.18191397193,133.4842700958/38.18191397193,133.486955897/38.18191397193,133.4896416982/38.18191397193,133.4923274994/38.18191397193,133.4950133006/38.18191397193,133.4976991018/38.18191397193,133.500384903/38.18191397193,133.5030707041/38.18191397193,133.5057565053/38.18191397193,133.5084423065/38.18191397193,133.5111281077/38.18191397193,133.5138139089/38.18191397193,133.5164997101/38.18191397193,133.5191855113/38.18191397193,133.5218713125/38.18191397193,133.5245571136/38.18191397193,133.5272429148/38.18191397193,133.529928716/38.18191397193,133.5326145172/38.18191397193,133.5353003184/38.18191397193,133.5379861196/38.18191397193,133.5406719208/38.18191397193,133.543357722/38.18191397193,133.5460435232/38.18191397193,133.5487293243/38.18191397193,133.5514151255/38.18191397193,133.5541009267/38.18191397193,133.5567867279/38.18191397193,133.5594725291/38.18191397193,133.5621583303/38.18191397193,133.5648441315/38.18191397193,133.5675299327/38.18191397193,133.5702157338/38.18191397193,133.572901535/38.18191397193,133.5755873362/38.18191397193,133.5782731374/38.18191397193,133.5809589386/38.18191397193,133.5836447398/38.18191397193,133.586330541/38.18191397193,133.5890163422/38.18191397193,133.5917021434/38.18191397193,133.5943879445/38.18191397193,133.5970737457/38.18191397193,133.5997595469/38.18191397193,133.6024453481/38.18191397193,133.6051311493/38.18191397193,133.6078169505/38.18191397193,133.6105027517/38.18191397193,133.6131885529/38.18191397193,133.615874354/38.18191397193,133.6185601552/38.18191397193,133.6212459564/38.18191397193,133.6239317576/38.18191397193
133.4654694875/38.18379577338,133.4681552887/38.18379577338,133.4708410899/38.18379577338,133.4735268911/38.18379577338,133.4762126923/38.18379577338,133.4788984934/38.18379577338,133.4815842946/38.18379577338,133.4842700958/38.18379577338,133.486955897/38.18379577338,133.4896416982/38.18379577338,133.4923274994/38.18379577338,133.4950133006/38.18379577338,133.4976991018/38.18379577338,133.500384903/38.18379577338,133.5030707041/38.18379577338,133.5057565053/38.18379577338,133.5084423065/38.18379577338,133.5111281077/38.18379577338,133.5138139089/38.18379577338,133.5164997101/38.18379577338,133.5191855113/38.18379577338,133.5218713125/38.18379577338,133.5245571136/38.18379577338,133.5272429148/38.18379577338,133.529928716/38.18379577338,133.5326145172/38.18379577338,133.5353003184/38.18379577338,133.5379861196/38.18379577338,133.5406719208/38.18379577338,133.543357722/38.18379577338,133.5460435232/38.18379577338,133.5487293243/38.18379577338,133.5514151255/38.18379577338,133.5541009267/38.18379577338,133.5567867279/38.18379577338,133.5594725291/38.18379577338,133.5621583303/38.18379577338,133.5648441315/38.18379577338,133.5675299327/38.18379577338,133.5702157338/38.18379577338,133.572901535/38.18379577338,133.5755873362/38.18379577338,133.5782731374/38.18379577338,133.5809589386/38.18379577338,133.5836447398/38.18379577338,133.586330541/38.18379577338,133.5890163422/38.18379577338,133.5917021434/38.18379577338,133.5943879445/38.18379577338,133.5970737457/38.18379577338,133.5997595469/38.18379577338,133.6024453481/38.18379577338,133.6051311493/38.18379577338,133.6078169505/38.18379577338,133.6105027517/38.18379577338,133.6131885529/38.18379577338,133.615874354/38.18379577338,133.6185601552/38.18379577338,133.6212459564/38.18379577338,133.6239317576/38.18379577338
133.4654694875/38.18567752623,133.4681552887/38.18567752623,133.4708410899/38.18567752623,133.4735268911/38.18567752623,133.4762126923/38.18567752623,133.4788984934/38.18567752623,133.4815842946/38.18567752623,133.4842700958/38.18567752623,133.486955897/38.18567752623,133.4896416982/38.18567752623,133.4923274994/38.18567752623,133.4950133006/38.18567752623,133.4976991018/38.18567752623,133.500384903/38.18567752623,133.5030707041/38.18567752623,133.5057565053/38.18567752623,133.5084423065/38.18567752623,133.5111281077/38.18567752623,133.5138139089/38.18567752623,133.5164997101/38.18567752623,133.5191855113/38.18567752623,133.5218713125/38.18567752623,133.5245571136/38.18567752623,133.5272429148/38.18567752623,133.529928716/38.18567752623,133.5326145172/38.18567752623,133.5353003184/38.18567752623,133.5379861196/38.18567752623,133.5406719208/38.18567752623,133.543357722/38.18567752623,133.5460435232/38.18567752623,133.5487293243/38.18567752623,133.5514151255/38.18567752623,133.5541009267/38.18567752623,133.5567867279/38.18567752623,133.5594725291/38.18567752623,133.5621583303/38.18567752623,133.5648441315/38.18567752623,133.5675299327/38.18567752623,133.5702157338/38.18567752623,133.572901535/38.18567752623,133.5755873362/38.18567752623,133.5782731374/38.18567752623,133.5809589386/38.18567752623,133.5836447398/38.18567752623,133.586330541/38.18567752623,133.5890163422/38.18567752623,133.5917021434/38.18567752623,133.5943879445/38.18567752623,133.5970737457/38.18567752623,133.5997595469/38.18567752623,133.6024453481/38.18567752623,133.6051311493/38.18567752623,133.6078169505/38.18567752623,133.6105027517/38.18567752623,133.6131885529/38.18567752623,133.615874354/38.18567752623,133.6185601552/38.18567752623,133.6212459564/38.18567752623,133.6239317576/38.18567752623
133.4654694875/38.18755923046,133.4681552887/38.18755923046,133.4708410899/38.18755923046,133.4735268911/38.18755923046,133.4762126923/38.18755923046,133.4788984934/38.18755923046,133.4815842946/38.18755923046,133.4842700958/38.18755923046,133.486955897/38.18755923046,133.4896416982/38.18755923046,133.4923274994/38.18755923046,133.4950133006/38.18755923046,133.4976991018/38.18755923046,133.500384903/38.18755923046,133.5030707041/38.18755923046,133.5057565053/38.18755923046,133.5084423065/38.18755923046,133.5111281077/38.18755923046,133.5138139089/38.18755923046,133.5164997101/38.18755923046,133.5191855113/38.18755923046,133.5218713125/38.18755923046,133.5245571136/38.18755923046,133.5272429148/38.18755923046,133.529928716/38.18755923046,133.5326145172/38.18755923046,133.5353003184/38.18755923046,133.5379861196/38.18755923046,133.5406719208/38.18755923046,133.543357722/38.18755923046,133.5460435232/38.18755923046,133.5487293243/38.18755923046,133.5514151255/38.18755923046,133.5541009267/38.18755923046,133.5567867279/38.18755923046,133.5594725291/38.18755923046,133.5621583303/38.18755923046,133.5648441315/38.18755923046,133.5675299327/38.18755923046,133.5702157338/38.18755923046,133.572901535/38.18755923046,133.5755873362/38.18755923046,133.5782731374/38.18755923046,133.5809589386/38.18755923046,133.5836447398/38.18755923046,133.586330541/38.18755923046,133.5890163422/38.18755923046,133.5917021434/38.18755923046,133.5943879445/38.18755923046,133.5970737457/38.18755923046,133.5997595469/38.18755923046,133.6024453481/38.18755923046,133.6051311493/38.18755923046,133.6078169505/38.18755923046,133.6105027517/38.18755923046,133.6131885529/38.18755923046,133.615874354/38.18755923046,133.6185601552/38.18755923046,133.6212459564/38.18755923046,133.6239317576/38.18755923046
133.4654694875/38.18944088609,133.4681552887/38.18944088609,133.4708410899/38.18944088609,133.4735268911/38.18944088609,133.4762126923/38.18944088609,133.4788984934/38.18944088609,133.4815842946/38.18944088609,133.4842700958/38.18944088609,133.486955897/38.18944088609,133.4896416982/38.18944088609,133.4923274994/38.18944088609,133.4950133006/38.18944088609,133.4976991018/38.18944088609,133.500384903/38.18944088609,133.5030707041/38.18944088609,133.5057565053/38.18944088609,133.5084423065/38.18944088609,133.5111281077/38.18944088609,133.5138139089/38.18944088609,133.5164997101/38.18944088609,133.5191855113/38.18944088609,133.5218713125/38.18944088609,133.5245571136/38.18944088609,133.5272429148/38.18944088609,133.529928716/38.18944088609,133.5326145172/38.18944088609,133.5353003184/38.18944088609,133.5379861196/38.18944088609,133.5406719208/38.18944088609,133.543357722/38.18944088609,133.5460435232/38.18944088609,133.5487293243/38.18944088609,133.5514151255/38.18944088609,133.5541009267/38.18944088609,133.5567867279/38.18944088609,133.5594725291/38.18944088609,133.5621583303/38.18944088609,133.5648441315/38.18944088609,133.5675299327/38.18944088609,133.5702157338/38.18944088609,133.572901535/38.18944088609,133.5755873362/38.18944088609,133.5782731374/38.18944088609,133.5809589386/38.18944088609,133.5836447398/38.18944088609,133.586330541/38.18944088609,133.5890163422/38.18944088609,133.5917021434/38.18944088609,133.5943879445/38.18944088609,133.5970737457/38.18944088609,133.5997595469/38.18944088609,133.6024453481/38.18944088609,133.6051311493/38.18944088609,133.6078169505/38.18944088609,133.6105027517/38.18944088609,133.6131885529/38.18944088609,133.615874354/38.18944088609,133.6185601552/38.18944088609,133.6212459564/38.18944088609,133.6239317576/38.18944088609
133.4654694875/38.19132249312,133.4681552887/38.19132249312,133.4708410899/38.19132249312,133.4735268911/38.19132249312,133.4762126923/38.19132249312,133.4788984934/38.19132249312,133.4815842946/38.19132249312,133.4842700958/38.19132249312,133.486955897/38.19132249312,133.4896416982/38.19132249312,133.4923274994/38.19132249312,133.4950133006/38.19132249312,133.4976991018/38.19132249312,133.500384903/38.19132249312,133.5030707041/38.19132249312,133.5057565053/38.19132249312,133.5084423065/38.19132249312,133.5111281077/38.19132249312,133.5138139089/38.19132249312,133.5164997101/38.19132249312,133.5191855113/38.19132249312,133.5218713125/38.19132249312,133.5245571136/38.19132249312,133.5272429148/38.19132249312,133.529928716/38.19132249312,133.5326145172/38.19132249312,133.5353003184/38.19132249312,133.5379861196/38.19132249312,133.5406719208/38.19132249312,133.543357722/38.19132249312,133.5460435232/38.19132249312,133.5487293243/38.19132249312,133.5514151255/38.19132249312,133.5541009267/38.19132249312,133.5567867279/38.19132249312,133.5594725291/38.19132249312,133.5621583303/38.19132249312,133.5648441315/38.19132249312,133.5675299327/38.19132249312,133.5702157338/38.19132249312,133.572901535/38.19132249312,133.5755873362/38.19132249312,133.5782731374/38.19132249312,133.5809589386/38.19132249312,133.5836447398/38.19132249312,133.586330541/38.19132249312,133.5890163422/38.19132249312,133.5917021434/38.19132249312,133.5943879445/38.19132249312,133.5970737457/38.19132249312,133.5997595469/38.19132249312,133.6024453481/38.19132249312,133.6051311493/38.19132249312,133.6078169505/38.19132249312,133.6105027517/38.19132249312,133.6131885529/38.19132249312,133.615874354/38.19132249312,133.6185601552/38.19132249312,133.6212459564/38.19132249312,133.6239317576/38.19132249312
133.4654694875/38.19320405153,133.4681552887/38.19320405153,133.4708410899/38.19320405153,133.4735268911/38.19320405153,133.4762126923/38.19320405153,133.4788984934/38.19320405153,133.4815842946/38.19320405153,133.4842700958/38.19320405153,133.486955897/38.19320405153,133.4896416982/38.19320405153,133.4923274994/38.19320405153,133.4950133006/38.19320405153,133.4976991018/38.19320405153,133.500384903/38.19320405153,133.5030707041/38.19320405153,133.5057565053/38.19320405153,133.5084423065/38.19320405153,133.5111281077/38.19320405153,133.5138139089/38.19320405153,133.5164997101/38.19320405153,133.5191855113/38.19320405153,133.5218713125/38.19320405153,133.5245571136/38.19320405153,133.5272429148/38.19320405153,133.529928716/38.19320405153,133.5326145172/38.19320405153,133.5353003184/38.19320405153,133.5379861196/38.19320405153,133.5406719208/38.19320405153,133.543357722/38.19320405153,133.5460435232/38.19320405153,133.5487293243/38.19320405153,133.5514151255/38.19320405153,133.5541009267/38.19320405153,133.5567867279/38.19320405153,133.5594725291/38.19320405153,133.5621583303/38.19320405153,133.5648441315/38.19320405153,133.5675299327/38.19320405153,133.5702157338/38.19320405153,133.572901535/38.19320405153,133.5755873362/38.19320405153,133.5782731374/38.19320405153,133.5809589386/38.19320405153,133.5836447398/38.19320405153,133.586330541/38.19320405153,133.5890163422/38.19320405153,133.5917021434/38.19320405153,133.5943879445/38.19320405153,133.5970737457/38.19320405153,133.5997595469/38.19320405153,133.6024453481/38.19320405153,133.6051311493/38.19320405153,133.6078169505/38.19320405153,133.6105027517/38.19320405153,133.6131885529/38.19320405153,133.615874354/38.19320405153,133.6185601552/38.19320405153,133.6212459564/38.19320405153,133.6239317576/38.19320405153
133.4654694875/38.19508556133,133.4681552887/38.19508556133,133.4708410899/38.19508556133,133.4735268911/38.19508556133,133.4762126923/38.19508556133,133.4788984934/38.19508556133,133.4815842946/38.19508556133,133.4842700958/38.19508556133,133.486955897/38.19508556133,133.4896416982/38.19508556133,133.4923274994/38.19508556133,133.4950133006/38.19508556133,133.4976991018/38.19508556133,133.500384903/38.19508556133,133.5030707041/38.19508556133,133.5057565053/38.19508556133,133.5084423065/38.19508556133,133.5111281077/38.19508556133,133.5138139089/38.19508556133,133.5164997101/38.19508556133,133.5191855113/38.19508556133,133.5218713125/38.19508556133,133.5245571136/38.19508556133,133.5272429148/38.19508556133,133.529928716/38.19508556133,133.5326145172/38.19508556133,133.5353003184/38.19508556133,133.5379861196/38.19508556133,133.5406719208/38.19508556133,133.543357722/38.19508556133,133.5460435232/38.19508556133,133.5487293243/38.19508556133,133.5514151255/38.19508556133,133.5541009267/38.19508556133,133.5567867279/38.19508556133,133.5594725291/38.19508556133,133.5621583303/38.19508556133,133.5648441315/38.19508556133,133.5675299327/38.19508556133,133.5702157338/38.19508556133,133.572901535/38.19508556133,133.5755873362/38.19508556133,133.5782731374/38.19508556133,133.5809589386/38.19508556133,133.5836447398/38.19508556133,133.586330541/38.19508556133,133.5890163422/38.19508556133,133.5917021434/38.19508556133,133.5943879445/38.19508556133,133.5970737457/38.19508556133,133.5997595469/38.19508556133,133.6024453481/38.19508556133,133.6051311493/38.19508556133,133.6078169505/38.19508556133,133.6105027517/38.19508556133,133.6131885529/38.19508556133,133.615874354/38.19508556133,133.6185601552/38.19508556133,133.6212459564/38.19508556133,133.6239317576/38.19508556133
133.4654694875/38.19696702252,133.4681552887/38.19696702252,133.4708410899/38.19696702252,133.4735268911/38.19696702252,133.4762126923/38.19696702252,133.4788984934/38.19696702252,133.4815842946/38.19696702252,133.4842700958/38.19696702252,133.486955897/38.19696702252,133.4896416982/38.19696702252,133.4923274994/38.19696702252,133.4950133006/38.19696702252,133.4976991018/38.19696702252,133.500384903/38.19696702252,133.5030707041/38.19696702252,133.5057565053/38.19696702252,133.5084423065/38.19696702252,133.5111281077/38.19696702252,133.5138139089/38.19696702252,133.5164997101/38.19696702252,133.5191855113/38.19696702252,133.5218713125/38.19696702252,133.5245571136/38.19696702252,133.5272429148/38.19696702252,133.529928716/38.19696702252,133.5326145172/38.19696702252,133.5353003184/38.19696702252,133.5379861196/38.19696702252,133.5406719208/38.19696702252,133.543357722/38.19696702252,133.5460435232/38.19696702252,133.5487293243/38.19696702252,133.5514151255/38.19696702252,133.5541009267/38.19696702252,133.5567867279/38.19696702252,133.5594725291/38.19696702252,133.5621583303/38.19696702252,133.5648441315/38.19696702252,133.5675299327/38.19696702252,133.5702157338/38.19696702252,133.572901535/38.19696702252,133.5755873362/38.19696702252,133.5782731374/38.19696702252,133.5809589386/38.19696702252,133.5836447398/38.19696702252,133.586330541/38.19696702252,133.5890163422/38.19696702252,133.5917021434/38.19696702252,133.5943879445/38.19696702252,133.5970737457/38.19696702252,133.5997595469/38.19696702252,133.6024453481/38.19696702252,133.6051311493/38.19696702252,133.6078169505/38.19696702252,133.6105027517/38.19696702252,133.6131885529/38.19696702252,133.615874354/38.19696702252,133.6185601552/38.19696702252,133.6212459564/38.19696702252,133.6239317576/38.19696702252
133.4654694875/38.1988484351,133.4681552887/38.1988484351,133.4708410899/38.1988484351,133.4735268911/38.1988484351,133.4762126923/38.1988484351,133.4788984934/38.1988484351,133.4815842946/38.1988484351,133.4842700958/38.1988484351,133.486955897/38.1988484351,133.4896416982/38.1988484351,133.4923274994/38.1988484351,133.4950133006/38.1988484351,133.4976991018/38.1988484351,133.500384903/38.1988484351,133.5030707041/38.1988484351,133.5057565053/38.1988484351,133.5084423065/38.1988484351,133.5111281077/38.1988484351,133.5138139089/38.1988484351,133.5164997101/38.1988484351,133.5191855113/38.1988484351,133.5218713125/38.1988484351,133.5245571136/38.1988484351,133.5272429148/38.1988484351,133.529928716/38.1988484351,133.5326145172/38.1988484351,133.5353003184/38.1988484351,133.5379861196/38.1988484351,133.5406719208/38.1988484351,133.543357722/38.1988484351,133.5460435232/38.1988484351,133.5487293243/38.1988484351,133.5514151255/38.1988484351,133.5541009267/38.1988484351,133.5567867279/38.1988484351,133.5594725291/38.1988484351,133.5621583303/38.1988484351,133.5648441315/38.1988484351,133.5675299327/38.1988484351,133.5702157338/38.1988484351,133.572901535/38.1988484351,133.5755873362/38.1988484351,133.5782731374/38.1988484351,133.5809589386/38.1988484351,133.5836447398/38.1988484351,133.586330541/38.1988484351,133.5890163422/38.1988484351,133.5917021434/38.1988484351,133.5943879445/38.1988484351,133.5970737457/38.1988484351,133.5997595469/38.1988484351,133.6024453481/38.1988484351,133.6051311493/38.1988484351,133.6078169505/38.1988484351,133.6105027517/38.1988484351,133.6131885529/38.1988484351,133.615874354/38.1988484351,133.6185601552/38.1988484351,133.6212459564/38.1988484351,133.6239317576/38.1988484351
133.4654694875/38.20072979906,133.4681552887/38.20072979906,133.4708410899/38.20072979906,133.4735268911/38.20072979906,133.4762126923/38.20072979906,133.4788984934/38.20072979906,133.4815842946/38.20072979906,133.4842700958/38.20072979906,133.486955897/38.20072979906,133.4896416982/38.20072979906,133.4923274994/38.20072979906,133.4950133006/38.20072979906,133.4976991018/38.20072979906,133.500384903/38.20072979906,133.5030707041/38.20072979906,133.5057565053/38.20072979906,133.5084423065/38.20072979906,133.5111281077/38.20072979906,133.5138139089/38.20072979906,133.5164997101/38.20072979906,133.5191855113/38.20072979906,133.5218713125/38.20072979906,133.5245571136/38.20072979906,133.5272429148/38.20072979906,133.529928716/38.20072979906,133.5326145172/38.20072979906,133.5353003184/38.20072979906,133.5379861196/38.20072979906,133.5406719208/38.20072979906,133.543357722/38.20072979906,133.5460435232/38.20072979906,133.5487293243/38.20072979906,133.5514151255/38.20072979906,133.5541009267/38.20072979906,133.5567867279/38.20072979906,133.5594725291/38.20072979906,133.5621583303/38.20072979906,133.5648441315/38.20072979906,133.5675299327/38.20072979906,133.5702157338/38.20072979906,133.572901535/38.20072979906,133.5755873362/38.20072979906,133.5782731374/38.20072979906,133.5809589386/38.20072979906,133.5836447398/38.20072979906,133.586330541/38.20072979906,133.5890163422/38.20072979906,133.5917021434/38.20072979906,133.5943879445/38.20072979906,133.5970737457/38.20072979906,133.5997595469/38.20072979906,133.6024453481/38.20072979906,133.6051311493/38.20072979906,133.6078169505/38.20072979906,133.6105027517/38.20072979906,133.6131885529/38.20072979906,133.615874354/38.20072979906,133.6185601552/38.20072979906,133.6212459564/38.20072979906,133.6239317576/38.20072979906
