0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,1,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,1,0,0,2,0,0,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,1,0,0,1,0,2,0,2,2,3,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,4,1,2,3,1,3,3,4,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,2,3,2,3,1,1,2,1,1,2,2,1,1,4,4,4,5,4,0,3,3,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,1,5,1,2,3,3,4,0,3,1,4,1,3,1,5,7,4,3,0,1,1,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,1,0,2,0,2,2,2,8,1,0,0,2,3,1,3,6,2,4,7,5,9,7,6,2,0,4,3,4,0,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,1,2,0,2,3,5,7,4,4,5,5,2,5,8,8,5,4,3,5,10,6,7,7,1,1,2,1,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,2,1,2,1,4,4,4,2,4,8,4,3,2,4,4,8,4,8,4,10,8,10,11,7,4,2,8,3,3,1,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,1,3,1,0,8,2,2,6,5,3,3,5,3,5,5,5,12,6,10,8,11,7,9,8,7,3,3,3,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,3,0,1,2,2,8,6,4,8,6,5,9,6,11,6,11,10,13,16,16,13,8,4,10,6,6,2,2,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
