133.4520687103/38.17136808222,133.4613697052/38.17136808222,133.4706707001/38.17136808222,133.4799716949/38.17136808222,133.4892726898/38.17136808222,133.4985736847/38.17136808222,133.5078746796/38.17136808222,133.5171756744/38.17136808222,133.5264766693/38.17136808222,133.5357776642/38.17136808222,133.5450786591/38.17136808222,133.5543796539/38.17136808222,133.5636806488/38.17136808222,133.5729816437/38.17136808222,133.5822826385/38.17136808222,133.5915836334/38.17136808222,133.6008846283/38.17136808222,133.6101856232/38.17136808222,133.619486618/38.17136808222,133.6287876129/38.17136808222
133.4520687103/38.177861137,133.4613697052/38.177861137,133.4706707001/38.177861137,133.4799716949/38.177861137,133.4892726898/38.177861137,133.4985736847/38.177861137,133.5078746796/38.177861137,133.5171756744/38.177861137,133.5264766693/38.177861137,133.5357776642/38.177861137,133.5450786591/38.177861137,133.5543796539/38.177861137,133.5636806488/38.177861137,133.5729816437/38.177861137,133.5822826385/38.177861137,133.5915836334/38.177861137,133.6008846283/38.177861137,133.6101856232/38.177861137,133.619486618/38.177861137,133.6287876129/38.177861137
133.4520687103/38.18435361325,133.4613697052/38.18435361325,133.4706707001/38.18435361325,133.4799716949/38.18435361325,133.4892726898/38.18435361325,133.4985736847/38.18435361325,133.5078746796/38.18435361325,133.5171756744/38.18435361325,133.5264766693/38.18435361325,133.5357776642/38.18435361325,133.5450786591/38.18435361325,133.5543796539/38.18435361325,133.5636806488/38.18435361325,133.5729816437/38.18435361325,133.5822826385/38.18435361325,133.5915836334/38.18435361325,133.6008846283/38.18435361325,133.6101856232/38.18435361325,133.619486618/38.18435361325,133.6287876129/38.18435361325
133.4520687103/38.19084551095,133.4613697052/38.19084551095,133.4706707001/38.19084551095,133.4799716949/38.19084551095,133.4892726898/38.19084551095,133.4985736847/38.19084551095,133.5078746796/38.19084551095,133.5171756744/38.19084551095,133.5264766693/38.19084551095,133.5357776642/38.19084551095,133.5450786591/38.19084551095,133.5543796539/38.19084551095,133.5636806488/38.19084551095,133.5729816437/38.19084551095,133.5822826385/38.19084551095,133.5915836334/38.19084551095,133.6008846283/38.19084551095,133.6101856232/38.19084551095,133.619486618/38.19084551095,133.6287876129/38.19084551095
133.4520687103/38.19733683006,133.4613697052/38.19733683006,133.4706707001/38.19733683006,133.4799716949/38.19733683006,133.4892726898/38.19733683006,133.4985736847/38.19733683006,133.5078746796/38.19733683006,133.5171756744/38.19733683006,133.5264766693/38.19733683006,133.5357776642/38.19733683006,133.5450786591/38.19733683006,133.5543796539/38.19733683006,133.5636806488/38.19733683006,133.5729816437/38.19733683006,133.5822826385/38.19733683006,133.5915836334/38.19733683006,133.6008846283/38.19733683006,133.6101856232/38.19733683006,133.619486618/38.19733683006,133.6287876129/38.19733683006
133.4520687103/38.20382757054,133.4613697052/38.20382757054,133.4706707001/38.20382757054,133.4799716949/38.20382757054,133.4892726898/38.20382757054,133.4985736847/38.20382757054,133.5078746796/38.20382757054,133.5171756744/38.20382757054,133.5264766693/38.20382757054,133.5357776642/38.20382757054,133.5450786591/38.20382757054,133.5543796539/38.20382757054,133.5636806488/38.20382757054,133.5729816437/38.20382757054,133.5822826385/38.20382757054,133.5915836334/38.20382757054,133.6008846283/38.20382757054,133.6101856232/38.20382757054,133.619486618/38.20382757054,133.6287876129/38.20382757054
133.4520687103/38.21031773237,133.4613697052/38.21031773237,133.4706707001/38.21031773237,133.4799716949/38.21031773237,133.4892726898/38.21031773237,133.4985736847/38.21031773237,133.5078746796/38.21031773237,133.5171756744/38.21031773237,133.5264766693/38.21031773237,133.5357776642/38.21031773237,133.5450786591/38.21031773237,133.5543796539/38.21031773237,133.5636806488/38.21031773237,133.5729816437/38.21031773237,133.5822826385/38.21031773237,133.5915836334/38.21031773237,133.6008846283/38.21031773237,133.6101856232/38.21031773237,133.619486618/38.21031773237,133.6287876129/38.21031773237
133.4520687103/38.21680731552,133.4613697052/38.21680731552,133.4706707001/38.21680731552,133.4799716949/38.21680731552,133.4892726898/38.21680731552,133.4985736847/38.21680731552,133.5078746796/38.21680731552,133.5171756744/38.21680731552,133.5264766693/38.21680731552,133.5357776642/38.21680731552,133.5450786591/38.21680731552,133.5543796539/38.21680731552,133.5636806488/38.21680731552,133.5729816437/38.21680731552,133.5822826385/38.21680731552,133.5915836334/38.21680731552,133.6008846283/38.21680731552,133.6101856232/38.21680731552,133.619486618/38.21680731552,133.6287876129/38.21680731552
133.4520687103/38.22329631994,133.4613697052/38.22329631994,133.4706707001/38.22329631994,133.4799716949/38.22329631994,133.4892726898/38.22329631994,133.4985736847/38.22329631994,133.5078746796/38.22329631994,133.5171756744/38.22329631994,133.5264766693/38.22329631994,133.5357776642/38.22329631994,133.5450786591/38.22329631994,133.5543796539/38.22329631994,133.5636806488/38.22329631994,133.5729816437/38.22329631994,133.5822826385/38.22329631994,133.5915836334/38.22329631994,133.6008846283/38.22329631994,133.6101856232/38.22329631994,133.619486618/38.22329631994,133.6287876129/38.22329631994
133.4520687103/38.22978474562,133.4613697052/38.22978474562,133.4706707001/38.22978474562,133.4799716949/38.22978474562,133.4892726898/38.22978474562,133.4985736847/38.22978474562,133.5078746796/38.22978474562,133.5171756744/38.22978474562,133.5264766693/38.22978474562,133.5357776642/38.22978474562,133.5450786591/38.22978474562,133.5543796539/38.22978474562,133.5636806488/38.22978474562,133.5729816437/38.22978474562,133.5822826385/38.22978474562,133.5915836334/38.22978474562,133.6008846283/38.22978474562,133.6101856232/38.22978474562,133.619486618/38.22978474562,133.6287876129/38.22978474562
133.4520687103/38.23627259252,133.4613697052/38.23627259252,133.4706707001/38.23627259252,133.4799716949/38.23627259252,133.4892726898/38.23627259252,133.4985736847/38.23627259252,133.5078746796/38.23627259252,133.5171756744/38.23627259252,133.5264766693/38.23627259252,133.5357776642/38.23627259252,133.5450786591/38.23627259252,133.5543796539/38.23627259252,133.5636806488/38.23627259252,133.5729816437/38.23627259252,133.5822826385/38.23627259252,133.5915836334/38.23627259252,133.6008846283/38.23627259252,133.6101856232/38.23627259252,133.619486618/38.23627259252,133.6287876129/38.23627259252
